,Recency,Frequency,Monetary
112,33,343,4527.32
113,10,55,1298.66
114,336,15,334.93
115,5,245,5417.93
116,39,26,460.40000000000003
117,63,20,263.21000000000004
118,166,22,433.74
119,16,77,1246.1000000000001
120,82,14,1043.1
121,21,23,403.70000000000005
122,23,61,4257.82
123,337,149,2169.39
124,96,147,3723.87
125,18,9,482.04999999999995
126,233,23,73.5
127,134,22,1304.81
128,26,68,397.88
129,284,7,176.5
130,143,33,982.5699999999999
131,66,31,132.18
132,113,35,612.29
133,267,51,1017.68
134,353,16,383.7
135,78,26,1312.06
136,28,279,2481.6
137,1,124,2056.89
138,64,17,330.84
139,79,152,2634.26
140,143,38,599.68
141,39,12,192.72
142,19,106,1789.77
143,9,144,4485.72
144,1,71,1316.66
145,82,18,348.71000000000004
146,9,92,1933.48
147,60,66,1662.28
148,15,17,125.22
149,30,16,349.83000000000004
150,131,63,1089.18
151,92,34,716.35
152,43,261,12601.830000000002
153,29,21,363.95
154,22,273,5568.35
155,20,478,13400.24
156,30,52,981.18
157,36,19,372.7
158,75,50,1000.39
159,47,69,1161.5
160,198,8,207.79999999999998
161,166,5,95.19999999999999
162,79,57,964.83
163,358,10,168.0
164,39,20,437.82
165,8,191,3692.28
166,50,119,599.56
167,16,33,11990.960000000001
168,8,11,269.96
169,311,21,561.71
170,5,105,2134.01
171,303,16,238.85
172,8,168,3781.7400000000002
173,261,21,456.9
174,289,9,145.92
175,86,19,351.65
176,23,446,9401.28
177,2,188,4124.69
178,40,34,519.61
179,9,60,1020.42
180,227,28,160.54000000000002
181,316,11,218.45
182,36,88,1315.83
183,35,146,626.6
184,21,114,2794.51
185,78,29,440.42
186,247,24,415.7
187,40,15,197.71
188,239,22,511.36
189,3,247,7281.38
190,4,96,2338.15
191,234,87,2040.1
192,17,11,196.94000000000003
193,8,4,144.0
194,39,10,214.89999999999998
195,29,35,646.68
196,211,68,9864.26
197,317,26,452.84999999999997
198,92,18,437.6
199,109,21,418.09999999999997
200,38,118,3338.2200000000003
201,51,27,618.27
202,19,206,3811.22
203,10,132,3023.08
204,29,62,1032.58
205,29,64,2599.04
206,190,28,577.0600000000001
207,59,12,153.12
208,22,3,739.1999999999999
209,79,16,254.18
210,60,101,1579.51
211,78,60,1126.85
212,23,106,2099.54
213,52,65,1193.32
214,74,19,704.0400000000001
215,57,153,3344.38
216,278,20,315.6
217,2,105,2291.19
218,95,32,713.3
219,29,41,352.98
220,22,11,177.31
221,16,90,3641.24
222,15,92,1339.41
223,2,467,13689.67
224,232,11,180.1
225,276,18,305.1
226,106,38,641.13
227,212,86,2683.82
228,23,294,6620.48
229,11,230,4478.53
230,4,41,786.46
231,10,64,1270.88
232,57,31,640.5
233,59,101,2163.98
234,90,101,1689.18
235,67,382,6002.9
236,33,39,671.69
237,239,22,486.1
238,24,53,1174.58
239,115,10,185.9
240,25,47,1013.26
241,128,24,3344.64
242,130,31,477.91
243,34,73,1775.18
244,5,45,1346.97
245,22,122,3722.82
246,155,21,318.05
247,107,31,623.51
248,3,20,314.44
249,335,9,114.0
250,331,48,919.98
251,149,43,2209.85
252,11,38,601.98
253,17,126,4051.17
254,11,47,1643.18
255,19,36,686.05
256,30,5,91.68
257,11,13,245.1
258,1,230,3849.78
259,8,37,4881.88
260,325,3,63.0
261,58,33,620.13
262,12,161,3807.15
263,151,101,2744.0299999999997
264,10,92,2996.05
265,330,10,225.89999999999998
266,5,42,610.52
267,39,83,1970.6
268,25,45,1331.39
269,42,165,17628.46
270,59,48,1113.02
271,1,52,862.81
272,15,638,13787.54
273,4,524,12279.82
274,4,344,8476.57
275,8,105,2283.63
276,28,157,2863.08
277,372,7,89.14
278,114,171,4873.8099999999995
279,26,72,1247.61
280,206,16,389.01
281,28,32,1035.8
282,127,39,855.91
283,70,37,869.67
284,7,27,582.1
285,29,41,957.59
286,8,268,4939.99
287,80,53,797.71
288,20,12,219.0
289,71,21,283.55
290,7,88,2340.84
291,15,334,6868.29
292,292,33,603.42
293,30,157,2712.91
294,15,207,9706.52
295,97,77,1149.02
296,29,133,4396.13
297,1,38,848.55
298,9,259,4708.86
299,106,20,343.36
300,4,69,1053.49
301,151,55,1030.98
302,71,19,238.25
303,5,39,644.95
304,3,354,5781.73
305,32,161,2656.13
306,85,53,997.63
307,4,69,725.07
308,5,53,1031.41
309,371,24,427.8
310,28,124,2609.1
311,11,139,3980.7
312,71,46,836.33
313,114,26,453.01
314,24,274,18895.91
315,180,12,236.26000000000002
316,234,22,383.95
317,353,4,110.39999999999999
318,315,43,779.5699999999999
319,333,4,234.0
320,372,11,155.35
321,78,38,1013.04
322,64,27,427.6
323,134,131,540.13
324,52,222,21279.29
325,2,103,4196.01
326,1,4413,33053.19
327,4,199,4090.88
328,129,15,275.88
329,81,53,4366.78
330,23,197,21429.39
331,236,63,3010.74
332,281,4,3811.95
333,87,4,112.07999999999998
334,16,364,7834.650000000001
335,117,97,2791.59
336,52,95,1531.44
337,8,69,1898.52
338,138,18,494.08
339,317,45,1693.88
340,4,310,6989.63
341,239,32,1143.6
342,211,12,1351.45
343,60,55,892.47
344,17,66,1386.04
345,20,50,822.23
346,38,149,3981.36
347,64,25,826.74
348,5,103,2330.92
349,2,84,2225.91
350,9,57,532.8199999999999
351,364,14,311.95
352,10,20,463.66
353,65,4,91.85
354,192,21,324.92
355,374,2,192.60000000000002
356,257,25,400.53999999999996
357,335,24,545.48
358,53,45,860.41
359,19,14,430.48
360,366,13,254.03
361,10,8,6977.04
362,187,25,427.58
363,37,28,483.65000000000003
364,178,25,489.31
365,261,31,514.85
366,45,15,229.64000000000001
367,102,2,125.92
368,148,47,1063.46
369,96,29,572.2
370,281,4,166.04
371,262,14,1542.08
372,3,59,942.34
373,214,6,92.72
374,71,46,948.88
375,75,5,1759.5
376,60,25,397.12
377,3,91,1474.72
378,6,25,430.15000000000003
379,3,56,1018.71
380,337,11,293.0
381,38,38,6814.64
382,262,9,215.05
383,32,27,383.03
384,145,24,417.38
385,283,18,312.38
386,59,174,2610.36
387,173,12,134.1
388,34,120,671.95
389,3,314,5591.42
390,144,113,2726.77
391,5,414,3991.58
392,70,34,1118.99
393,66,103,1702.26
394,29,52,325.96000000000004
395,267,27,354.09
396,22,84,843.64
397,31,48,1010.29
398,97,47,131.81
399,295,17,311.55
400,135,78,1957.1000000000001
401,79,109,1316.25
402,373,3,38.1
403,8,311,2170.78
404,211,46,1106.4
405,52,5,521.2
406,138,3,147.12
407,26,95,1568.23
408,283,26,559.12
409,26,534,4009.34
410,186,107,1607.0600000000002
411,84,11,380.64
412,327,66,599.97
413,282,4,374.0
414,143,2,343.2300000000001
415,58,85,2218.02
416,4,154,1535.77
417,236,47,854.99
418,45,10,573.22
419,276,7,298.0
420,9,13,1463.04
421,25,42,703.47
422,88,7,309.05
423,63,71,1175.22
424,68,82,1378.4
425,214,5,354.12
426,24,79,376.71999999999997
427,186,3,331.0
428,31,31,176.55
429,42,22,372.8
430,205,4,216.5
431,9,116,17654.54
432,265,10,138.68
433,18,71,496.06
434,12,63,2919.81
435,176,2,750.0
436,40,91,2178.67
437,23,75,3075.04
438,3,24,1662.3
439,5,50,2483.63
440,149,22,363.65
441,139,103,2944.95
442,128,2,594.0
443,8,50,1335.19
444,17,27,162.78
445,9,720,16587.09
446,161,28,405.38
447,64,28,172.82
448,88,30,933.7
449,5,45,694.05
450,35,84,2062.7000000000003
451,312,8,117.85
452,78,25,415.8
453,22,82,42055.96
454,24,106,607.53
455,2,129,2160.7
456,17,62,1063.9
457,15,120,1504.27
458,26,9,114.14
459,64,47,11581.8
460,55,96,899.69
461,131,70,675.6
462,36,30,604.51
463,288,23,462.95
464,144,97,1603.99
465,16,116,2064.95
466,31,215,4167.22
467,2,23,1843.0
468,9,63,1064.07
469,6,79,1387.79
470,10,17,329.85
471,1,180,4757.16
472,306,19,108.07
473,10,238,4017.54
474,7,16,266.39
475,8,95,1856.63
476,89,108,769.8100000000001
477,10,10,160.18
478,358,19,1660.9
479,112,5,135.95
480,7,129,405.47
481,4,305,11189.91
482,198,8,144.8
483,212,22,738.6
484,156,9,39.239999999999995
485,158,20,7374.900000000001
486,30,20,372.21999999999997
487,243,28,390.54
488,19,4,97.5
489,1,76,1239.38
490,74,28,558.7
491,292,83,505.82
492,3,64,6924.110000000001
493,31,13,409.5
494,23,31,503.76
495,23,27,414.76
496,4,61,974.4200000000001
497,85,3,211.32
498,22,59,1226.89
499,196,28,455.88
500,107,31,534.85
501,4,337,9785.970000000001
502,318,7,120.94999999999999
503,106,6,149.05
504,12,404,5655.91
505,174,26,513.7
506,56,4,81.57
507,323,14,229.46999999999997
508,372,3,50.550000000000004
509,9,88,1646.8400000000001
510,1,219,4810.9400000000005
511,11,110,3466.2799999999997
512,53,175,3339.64
513,73,47,789.89
514,7,1,204.0
515,16,458,7277.7
516,4,131,2616.38
517,64,40,689.9
518,1,40,975.36
519,114,26,6912.0
520,23,45,661.3199999999999
521,31,10,1247.5
522,11,92,752.4399999999999
523,52,71,1010.18
524,357,11,190.55
525,55,37,642.77
526,74,27,921.88
527,138,48,881.07
528,80,28,908.46
529,9,43,676.99
530,273,13,516.42
531,291,33,560.47
532,99,18,305.28000000000003
533,31,35,629.31
534,32,172,3237.54
535,14,135,1819.41
536,64,14,656.6800000000001
537,15,403,5836.86
538,212,18,348.15000000000003
539,78,76,1214.41
540,25,8,271.40000000000003
541,250,8,183.4
542,254,15,307.53
543,72,10,248.61
544,191,11,346.98
545,13,68,1105.59
546,373,14,205.86
547,24,48,470.8
548,82,15,115.46000000000001
549,10,2,344.0
550,1,424,4431.44
551,192,9,228.8
552,267,7,177.15
553,130,22,919.61
554,1,111,728.02
555,3,358,12627.94
556,4,6,220.10000000000002
557,179,6,58.08
558,12,1028,28337.38
559,126,73,3613.63
560,4,18,303.75
561,158,22,416.08000000000004
562,3,1814,58762.08
563,9,155,8910.82
564,28,21,345.82
565,71,25,477.83
566,276,159,7832.47
567,21,24,1927.3200000000002
568,71,6,74.39999999999999
569,33,421,6003.22
570,1,572,28882.44
571,99,1,207.35999999999999
572,234,8,101.19
573,1,304,6424.09
574,40,8,243.94
575,3,20,1098.48
576,133,1,76.5
577,44,58,1531.6200000000001
578,373,10,350.06
579,60,47,786.54
580,31,145,1488.67
581,1,201,12245.960000000001
582,12,120,2294.78
583,138,30,501.14
584,22,76,984.91
585,20,79,1197.81
586,239,1,30.599999999999998
587,269,50,283.73
588,94,55,922.39
589,90,222,3756.33
590,5,140,2099.64
591,78,15,259.17
592,94,2,64.0
593,23,44,1073.3
594,262,3,77.3
595,274,7,109.8
596,86,98,1793.58
597,197,1,3096.0
598,56,127,2607.61
599,11,687,3603.29
600,22,63,962.39
601,16,170,5064.94
602,108,45,422.47
603,85,135,2388.75
604,19,23,307.09
605,333,3,110.95
606,40,6,618.52
607,26,17,228.91
608,10,4,712.8000000000001
609,29,312,3683.26
610,14,86,1676.06
611,296,74,1257.8700000000001
612,6,15,486.22
613,33,85,971.76
614,49,87,1741.22
615,95,79,1201.06
616,9,120,1429.35
617,22,4,91.8
618,313,8,112.75
619,122,79,1688.29
620,46,42,1021.48
621,283,41,417.2
622,19,65,791.33
623,36,126,1299.59
624,64,13,712.88
625,27,30,108.81
626,22,46,468.41
627,4,43,353.65
628,16,293,2742.82
629,46,67,481.49
630,65,17,282.45
631,26,265,5725.47
632,45,11,121.18
633,8,94,3957.78
634,15,179,1668.95
635,268,1,71.4
636,40,79,1575.89
637,337,37,236.02
638,11,2,114.60000000000001
639,19,29,260.68
640,95,63,911.94
641,61,25,112.08
642,136,3,60.7
643,11,110,1797.78
644,10,226,3401.2400000000002
645,4,119,9817.12
646,19,46,870.09
647,10,57,869.46
648,15,8,250.26000000000002
649,59,148,1217.65
650,30,321,5891.61
651,94,22,353.48
652,10,55,1095.42
653,20,141,786.83
654,57,90,1520.58
655,268,5,333.74
656,122,4,533.98
657,127,5,62.63999999999999
658,78,21,819.2900000000001
659,240,66,847.41
660,200,5,163.20000000000002
661,60,108,2155.95
662,3,32,6463.84
663,273,16,108.21000000000001
664,202,9,257.7
665,81,2,358.0
666,226,10,160.95
667,4,587,2755.63
668,13,202,1328.35
669,74,43,605.12
670,212,58,1031.07
671,25,36,744.85
672,17,31,700.73
673,262,22,329.56
674,96,67,663.65
675,112,13,270.40000000000003
676,203,57,585.12
677,93,27,121.74000000000001
678,51,16,430.5
679,18,136,1961.52
680,18,25,501.12
681,125,26,465.68
682,92,23,711.41
683,157,36,1030.4
684,9,13,399.51
685,14,1,0.0
686,12,36,672.83
687,62,81,283.18
688,61,8,557.62
689,269,9,944.1
690,263,11,200.29
691,1,1667,7436.93
692,53,90,2092.66
693,11,187,3834.2599999999998
694,3,211,4521.49
695,18,433,3174.75
696,1,315,5343.28
697,366,1,590.0
698,37,87,211.49
699,31,15,276.56
700,113,16,138.98
701,64,30,590.9300000000001
702,16,8,258.4
703,41,46,542.73
704,78,9,137.75
705,122,82,798.46
706,18,37,1132.14
707,60,7,93.66
708,331,13,201.19
709,23,187,2709.12
710,156,42,361.11
711,39,31,578.9399999999999
712,190,54,873.74
713,360,10,201.20000000000002
714,137,5,87.4
715,8,59,2089.85
716,1,2,360.0
717,268,5,142.5
718,169,20,371.89
719,104,81,618.09
720,155,1,63.75
721,351,21,300.42
722,4,81,2000.86
723,120,1,15.0
724,23,54,1385.51
725,7,107,1456.79
726,28,72,1132.03
727,4,26,598.57
728,22,78,1555.32
729,2,62,775.94
730,37,86,5732.93
731,66,124,2273.68
732,1,20,640.76
733,5,476,10845.550000000001
734,78,105,1532.2
735,72,11,567.36
736,17,25,199.48000000000002
737,3,21,787.85
738,36,75,7121.95
739,82,12,675.3
740,39,108,3627.77
741,316,17,1308.48
742,32,17,789.0
743,93,53,1140.93
744,14,21,350.9
745,82,265,3502.32
746,77,51,795.12
747,158,19,487.02
748,201,54,860.12
749,45,134,10736.48
750,261,42,775.85
751,178,19,353.43
752,68,116,2511.69
753,288,20,389.5
754,70,8,341.36
755,64,14,233.76
756,11,16,247.32
757,16,40,979.12
758,66,16,373.94
759,60,24,397.97999999999996
760,71,51,743.53
761,122,32,674.7
762,80,42,768.24
763,257,89,609.4
764,269,29,439.03
765,64,23,439.56
766,9,166,3090.7400000000002
767,18,60,992.5
768,71,10,134.95999999999998
769,34,128,2225.37
770,50,1,56.160000000000004
771,257,29,623.4
772,366,14,308.28000000000003
773,372,39,754.87
774,90,23,378.64
775,61,158,3312.25
776,89,37,778.65
777,99,53,1019.76
778,26,97,572.56
779,32,172,3639.31
780,281,15,222.99
781,31,152,4151.93
782,330,35,534.57
783,131,35,677.1
784,11,51,797.96
785,75,13,544.08
786,204,1,59.8
787,2,155,2520.02
788,185,21,307.72
789,29,43,1360.99
790,73,38,1544.13
791,192,26,457.34
792,127,39,621.23
793,18,3,75.0
794,1,11,252.49
795,74,27,572.451
796,2,478,28117.04
797,24,28,1003.06
798,107,18,213.55
799,134,24,1390.5
800,44,19,712.5
801,5,28,640.83
802,12,304,6127.43
803,64,16,221.06
804,150,8,159.85
805,40,102,1833.71
806,64,127,2626.3
807,108,78,1624.21
808,1,157,3641.32
809,19,29,582.6
810,10,71,201.78
811,11,67,1006.8
812,19,49,679.45
813,67,46,1269.1
814,74,10,534.24
815,5,101,3809.8900000000003
816,2,12,196.89
817,14,167,3408.06
818,255,54,283.71
819,92,13,296.64
820,23,59,1129.14
821,17,194,3534.69
822,24,19,291.88
823,27,71,2043.7199999999998
824,26,433,2898.2599999999998
825,259,2,590.0
826,166,17,356.97999999999996
827,25,46,1058.34
828,18,63,1766.72
829,7,382,9646.57
830,29,17,183.44
831,39,27,1445.0
832,253,9,151.5
833,58,41,674.68
834,184,17,307.9
835,11,98,1071.91
836,2,302,5704.97
837,99,10,165.0
838,1,254,2501.84
839,61,21,422.64
840,236,62,226.84
841,191,86,1431.78
842,179,58,1238.47
843,38,79,1454.58
844,201,15,300.95
845,46,109,1804.56
846,232,11,184.64
847,66,10,140.34
848,241,8,313.8
849,233,23,454.24
850,78,69,1122.41
851,58,34,575.4
852,17,422,8968.31
853,105,14,449.52
854,52,86,1215.82
855,136,50,1269.84
856,275,8,618.63
857,312,18,316.26000000000005
858,8,48,2044.8700000000001
859,11,35,653.33
860,283,19,348.05
861,18,42,1159.11
862,23,65,1166.77
863,288,52,1340.32
864,17,18,292.0
865,71,17,216.85
866,64,22,295.93
867,73,215,4393.63
868,316,26,458.52
869,3,162,2479.16
870,244,12,110.97
871,9,44,979.72
872,1,115,1791.56
873,261,15,251.21
874,127,10,205.1
875,74,4,152.20000000000002
876,73,59,891.12
877,21,44,1389.41
878,60,141,2128.42
879,86,36,627.16
880,78,8,122.75
881,59,93,3624.35
882,1,418,1071.73
883,30,5,125.80000000000001
884,33,172,3964.88
885,41,27,680.1800000000001
886,15,6,628.78
887,34,217,2242.36
888,79,15,307.76
889,205,22,483.8
890,34,66,210.31
891,183,75,269.09
892,2,296,5870.08
893,1,178,3444.39
894,43,25,1280.85
895,86,37,631.34
896,40,78,276.06
897,12,97,621.09
898,96,123,678.16
899,26,51,918.2
900,319,4,91.80000000000001
901,66,109,3740.07
902,74,135,4098.88
903,28,34,584.06
904,6,169,594.52
905,7,32,171.42000000000002
906,216,14,141.85999999999999
907,82,82,1799.33
908,84,49,777.53
909,144,81,1724.67
910,19,38,240.22
911,41,169,856.84
912,173,43,187.05
913,17,79,338.62
914,243,27,239.49
915,13,340,2088.94
916,206,33,1384.25
917,50,25,290.25
918,23,46,732.0699999999999
919,10,126,6717.34
920,25,83,1687.6000000000001
921,15,23,467.04
922,309,10,118.0
923,156,53,781.03
924,307,24,142.4
925,64,8,712.4
926,16,174,2478.95
927,15,21,379.65
928,11,87,1981.92
929,65,58,1117.13
930,36,16,247.95999999999998
931,108,127,2011.88
932,53,26,396.97
933,6,146,664.11
934,47,35,160.04
935,1,246,5149.92
936,312,19,219.52
937,45,99,693.32
938,65,23,428.89
939,26,27,164.34
940,29,40,276.75
941,40,97,675.51
942,12,215,1082.33
943,89,72,1154.4
944,24,195,1585.46
945,319,23,417.69
946,40,44,544.18
947,174,13,177.34
948,117,19,213.85
949,31,78,727.74
950,253,19,257.23
951,59,92,1638.47
952,23,59,7792.36
953,5,71,2031.78
954,100,11,3070.42
955,25,145,2118.93
956,33,186,1547.3600000000001
957,68,62,1071.03
958,37,63,949.12
959,52,99,804.3
960,16,8,122.64
961,74,40,1033.34
962,216,57,312.28
963,31,28,519.44
964,16,146,2624.26
965,120,5,252.1
966,10,78,1648.1200000000001
967,257,23,346.6
968,17,96,1836.34
969,35,6,94.2
970,46,63,1095.08
971,43,166,2707.33
972,114,56,932.97
973,165,49,379.65
974,11,16,382.14
975,10,108,2639.17
976,206,103,1563.0
977,86,52,881.26
978,179,13,189.47
979,60,12,84.65
980,149,83,299.05
981,3,463,6309.83
982,51,9,218.55
983,75,25,349.7
984,301,6,186.39000000000001
985,19,60,387.44
986,151,25,486.82000000000005
987,152,16,232.6
988,1,194,3719.12
989,18,57,827.83
990,187,3,59.5
991,286,29,65.13
992,3,39,3119.44
993,183,8,72.0
994,63,6,910.0
995,59,9,172.25
996,25,53,1488.32
997,4,568,65039.62
998,31,90,2504.13
999,39,12,151.29999999999998
1000,155,14,308.58000000000004
1001,26,194,2248.63
1002,318,1,99.5
1003,5,134,2308.06
1004,8,28,711.86
1005,303,20,330.79
1006,267,48,806.41
1007,271,49,285.33
1008,4,335,6307.650000000001
1009,32,8,180.48
1010,219,13,252.06
1011,247,10,228.84
1012,281,104,1077.39
1013,269,21,138.28
1014,32,102,1445.01
1015,246,12,306.55
1016,15,60,1041.68
1017,117,43,799.9
1018,36,28,524.14
1019,132,85,2375.41
1020,217,6,199.85000000000002
1021,50,104,1980.56
1022,39,42,1079.6599999999999
1023,29,20,333.48
1024,37,63,1016.14
1025,136,43,752.6
1026,219,38,610.59
1027,28,33,491.86
1028,25,195,2883.54
1029,5,190,729.8
1030,200,30,339.59999999999997
1031,18,3,216.9
1032,241,23,350.75
1033,72,34,668.4300000000001
1034,17,313,3107.87
1035,3,41,1341.6
1036,95,63,1080.52
1037,162,25,300.04
1038,374,1,79.6
1039,96,28,948.25
1040,54,24,1647.26
1041,288,9,296.25
1042,124,75,1175.38
1043,288,35,741.26
1044,152,12,282.59999999999997
1045,4,321,2108.06
1046,2,142,5189.52
1047,12,117,3190.55
1048,33,25,659.4100000000001
1049,54,57,286.79
1050,50,70,1070.65
1051,219,7,306.72
1052,63,15,1714.96
1053,71,207,1519.42
1054,2,368,17220.36
1055,2,135,2796.51
1056,64,119,2634.45
1057,34,173,1122.63
1058,82,22,345.0
1059,1,197,25977.16
1060,103,9,178.7
1061,7,57,360.01
1062,251,17,127.84
1063,13,113,908.86
1064,10,31,2462.79
1065,367,7,230.39999999999998
1066,76,31,309.04
1067,4,45,348.8
1068,128,11,1516.0
1069,66,13,195.55
1070,1,349,37153.85
1071,117,39,688.86
1072,310,33,558.32
1073,67,23,324.8
1074,139,60,4599.42
1075,255,17,277.07
1076,31,135,2588.39
1077,52,13,924.6
1078,64,10,256.38
1079,367,7,112.6
1080,6,76,1747.66
1081,305,12,155.05
1082,29,35,1499.01
1083,184,13,814.5
1084,42,36,539.0
1085,40,69,1366.8600000000001
1086,92,57,1579.12
1087,22,176,4027.36
1088,24,28,571.6700000000001
1089,29,24,382.98
1090,302,36,1140.35
1091,145,59,385.64
1092,6,96,632.0
1093,19,40,957.66
1094,33,46,1698.94
1095,176,10,189.5
1096,58,92,409.8
1097,22,15,209.49
1098,16,72,2198.45
1099,19,3,52.199999999999996
1100,159,28,383.85
1101,25,55,834.57
1102,212,18,266.59000000000003
1103,6,165,674.82
1104,253,1,85.0
1105,59,206,3385.62
1106,11,20,361.62
1107,65,9,312.98
1108,25,55,865.0600000000001
1109,92,5,1255.0
1110,52,101,1537.95
1111,129,93,1595.48
1112,96,81,2651.46
1113,57,23,1090.14
1114,9,110,8109.5199999999995
1115,169,14,388.5
1116,57,11,216.17
1117,326,28,201.16
1118,1,76,1245.9
1119,18,139,2209.36
1120,248,20,305.78
1121,58,30,501.56
1122,74,7,145.67000000000002
1123,31,60,1005.09
1124,7,33,3192.54
1125,123,304,3083.65
1126,2,115,2770.94
1127,23,336,6403.25
1128,120,23,389.6
1129,358,18,540.45
1130,54,104,1786.79
1131,64,7,122.7
1132,86,3,117.24
1133,55,35,1271.57
1134,21,165,3219.77
1135,4,178,17159.52
1136,3,65,1191.13
1137,11,142,2674.48
1138,7,59,787.6
1139,189,28,506.8
1140,71,16,243.56
1141,204,19,349.55
1142,120,39,595.67
1143,93,15,416.90000000000003
1144,1,110,1883.8100000000002
1145,27,27,632.97
1146,298,21,821.1
1147,24,27,564.62
1148,28,118,2593.07
1149,50,17,311.16
1150,326,12,155.93
1151,16,19,388.52
1152,183,43,740.95
1153,72,149,2867.2
1154,37,26,332.64
1155,80,122,2369.55
1156,57,148,2580.91
1157,12,33,626.45
1158,50,18,272.04
1159,50,30,1212.8400000000001
1160,59,28,384.81
1161,352,7,172.25
1162,54,20,351.13
1163,2,117,1838.8500000000001
1164,93,41,678.25
1165,23,11,223.85000000000002
1166,75,21,348.99
1167,11,27,464.57
1168,169,9,842.65
1169,58,17,337.34
1170,96,58,1237.53
1171,295,16,307.4
1172,109,23,608.7900000000001
1173,264,31,922.1
1174,180,26,376.58
1175,169,9,158.85
1176,35,7,71.66
1177,23,45,568.55
1178,17,49,839.14
1179,22,45,5112.96
1180,79,11,561.5699999999999
1181,65,5,90.6
1182,361,3,102.0
1183,3,160,2427.32
1184,11,35,745.06
1185,176,39,674.45
1186,218,137,3251.071
1187,7,20,3515.68
1188,2,25,439.92
1189,154,33,322.96
1190,5,147,1019.27
1191,79,90,594.04
1192,21,12,230.22
1193,22,11,169.55
1194,308,35,664.54
1195,146,2,80.7
1196,7,619,9024.17
1197,19,149,2758.26
1198,71,15,190.25
1199,287,11,264.7
1200,49,28,413.59000000000003
1201,31,329,2461.2400000000002
1202,207,10,357.98
1203,15,15,196.79000000000002
1204,73,54,869.87
1205,60,11,200.14
1206,39,111,1871.81
1207,30,107,2603.43
1208,27,16,920.51
1209,4,351,7060.13
1210,17,13,320.46
1211,20,234,4147.96
1212,66,41,1266.08
1213,213,16,311.3
1214,12,82,852.88
1215,30,5,76.8
1216,43,121,3466.36
1217,4,148,2274.14
1218,15,86,1393.69
1219,10,208,3901.81
1220,211,15,635.66
1221,46,39,2043.0800000000002
1222,134,47,529.73
1223,43,171,4582.64
1224,10,84,2874.72
1225,116,30,962.19
1226,198,42,695.61
1227,278,11,328.8
1228,110,34,473.02
1229,77,39,505.18
1230,53,20,917.34
1231,162,161,4341.21
1232,47,66,1421.61
1233,17,39,642.8
1234,155,22,631.9
1235,225,28,440.0
1236,7,31,584.07
1237,122,16,327.7
1238,61,6,104.82
1239,63,15,467.66
1240,18,242,2358.84
1241,7,250,17286.86
1242,2,143,2975.59
1243,22,86,648.89
1244,29,66,1428.02
1245,285,38,626.65
1246,176,28,147.20000000000002
1247,78,92,1560.38
1248,33,6,152.2
1249,41,229,3560.32
1250,266,21,141.41
1251,27,206,646.42
1252,109,6,1659.75
1253,284,14,154.99
1254,9,32,1308.6100000000001
1255,305,85,409.93
1256,17,478,5578.72
1257,32,54,746.36
